window_id,train_start,train_end,test_start,test_end,model,mae,rmse,smape,bias
1994-04-04__1996-03-25,1994-04-04,1996-03-25,1996-04-01,1996-04-22,Naive (lag_1),0.022749999999999992,0.025054939632735064,1.8127378582207267,-0.022749999999999992
1994-04-04__1996-03-25,1994-04-04,1996-03-25,1996-04-01,1996-04-22,Seasonal Naive (lag_52),0.10749999999999998,0.10835820227375496,8.859835323007207,-0.10749999999999998
1994-04-04__1996-03-25,1994-04-04,1996-03-25,1996-04-01,1996-04-22,XGBoost,0.03500312185287474,0.04092746997299995,2.7795132404335035,-0.03500312185287474
1994-05-02__1996-04-22,1994-05-02,1996-04-22,1996-04-29,1996-05-20,Naive (lag_1),0.007250000000000034,0.009367496997597667,0.5511386714654686,-0.007250000000000034
1994-05-02__1996-04-22,1994-05-02,1996-04-22,1996-04-29,1996-05-20,Seasonal Naive (lag_52),0.10300000000000004,0.10393026508192889,8.11078475621555,-0.10300000000000004
1994-05-02__1996-04-22,1994-05-02,1996-04-22,1996-04-29,1996-05-20,XGBoost,0.05935441064834596,0.059633007719649175,4.588792011303957,-0.05935441064834596
1994-05-30__1996-05-20,1994-05-30,1996-05-20,1996-05-27,1996-06-17,Naive (lag_1),0.007000000000000006,0.007176350047203684,0.5319335217756546,0.007000000000000006
1994-05-30__1996-05-20,1994-05-30,1996-05-20,1996-05-27,1996-06-17,Seasonal Naive (lag_52),0.06849999999999995,0.06862579689883384,5.363117635095163,-0.06849999999999995
1994-05-30__1996-05-20,1994-05-30,1996-05-20,1996-05-27,1996-06-17,XGBoost,0.008716852664947539,0.009861327897548332,0.663742215809043,0.008716852664947539
1994-06-27__1996-06-17,1994-06-27,1996-06-17,1996-06-24,1996-07-15,Naive (lag_1),0.007250000000000034,0.00847053717304876,0.5631274618121822,0.007250000000000034
1994-06-27__1996-06-17,1994-06-27,1996-06-17,1996-06-24,1996-07-15,Seasonal Naive (lag_52),0.06349999999999995,0.063784794426258,5.093079732731312,-0.06349999999999995
1994-06-27__1996-06-17,1994-06-27,1996-06-17,1996-06-24,1996-07-15,XGBoost,0.01565903019905096,0.016958967339037637,1.2174159104923719,0.01565903019905096
1994-07-25__1996-07-15,1994-07-25,1996-07-15,1996-07-22,1996-08-12,Naive (lag_1),0.006249999999999978,0.007193747284969097,0.4958493142200164,0.006249999999999978
1994-07-25__1996-07-15,1994-07-25,1996-07-15,1996-07-22,1996-08-12,Seasonal Naive (lag_52),0.07999999999999996,0.08005310737254359,6.56200952098245,-0.07999999999999996
1994-07-25__1996-07-15,1994-07-25,1996-07-15,1996-07-22,1996-08-12,XGBoost,0.01595890116691595,0.019049579730089167,1.2622505496160417,0.014842245340347338
1994-08-22__1996-08-12,1994-08-22,1996-08-12,1996-08-19,1996-09-09,Naive (lag_1),0.005249999999999977,0.006383572667401801,0.42084290631324606,0.00024999999999997247
1994-08-22__1996-08-12,1994-08-22,1996-08-12,1996-08-19,1996-09-09,Seasonal Naive (lag_52),0.08475000000000005,0.08489552402806644,7.031375787279711,-0.08475000000000005
1994-08-22__1996-08-12,1994-08-22,1996-08-12,1996-08-19,1996-09-09,XGBoost,0.003314174890518218,0.005132375045843991,0.2656941934693756,0.0025441787242889147
1994-09-19__1996-09-09,1994-09-19,1996-09-09,1996-09-16,1996-10-07,Naive (lag_1),0.0039999999999998925,0.004527692569068614,0.3210293442547275,0.0020000000000000018
1994-09-19__1996-09-09,1994-09-19,1996-09-09,1996-09-16,1996-10-07,Seasonal Naive (lag_52),0.09425000000000006,0.09425364714428831,7.860164722876584,-0.09425000000000006
1994-09-19__1996-09-09,1994-09-19,1996-09-09,1996-09-16,1996-10-07,XGBoost,0.005593309879302899,0.0071323527965732264,0.4486660390394786,0.0027181839942931885
1994-10-17__1996-10-07,1994-10-17,1996-10-07,1996-10-14,1996-11-04,Naive (lag_1),0.007249999999999979,0.00817006731918404,0.5784036105501017,-0.007249999999999979
1994-10-17__1996-10-07,1994-10-17,1996-10-07,1996-10-14,1996-11-04,Seasonal Naive (lag_52),0.135,0.1359797779083346,11.356520152050578,-0.135
1994-10-17__1996-10-07,1994-10-17,1996-10-07,1996-10-14,1996-11-04,XGBoost,0.011088407039642367,0.013481241386744865,0.8844792482333947,-0.011088407039642367
1994-11-14__1996-11-04,1994-11-14,1996-11-04,1996-11-11,1996-12-02,Naive (lag_1),0.005749999999999977,0.006499999999999976,0.44946517241046074,-0.0047499999999999765
1994-11-14__1996-11-04,1994-11-14,1996-11-04,1996-11-11,1996-12-02,Seasonal Naive (lag_52),0.17499999999999993,0.17514993576932872,14.642972313072725,-0.17499999999999993
1994-11-14__1996-11-04,1994-11-14,1996-11-04,1996-11-11,1996-12-02,XGBoost,0.012800784111022923,0.01348318453360547,1.0032292584460778,-0.012800784111022923
1994-12-12__1996-12-02,1994-12-12,1996-12-02,1996-12-09,1996-12-30,Naive (lag_1),0.003249999999999975,0.0037749172176353416,0.2538090355519491,0.003249999999999975
1994-12-12__1996-12-02,1994-12-12,1996-12-02,1996-12-09,1996-12-30,Seasonal Naive (lag_52),0.15774999999999995,0.15822057388342384,13.129250771269271,-0.15774999999999995
1994-12-12__1996-12-02,1994-12-12,1996-12-02,1996-12-09,1996-12-30,XGBoost,0.003420410871505686,0.004362003200531422,0.2673195362268792,0.0025078899860382364
1995-01-09__1996-12-30,1995-01-09,1996-12-30,1997-01-06,1997-01-27,Naive (lag_1),0.004999999999999949,0.0077136243102706985,0.3907035905370303,-0.0025000000000000022
1995-01-09__1996-12-30,1995-01-09,1996-12-30,1997-01-06,1997-01-27,Seasonal Naive (lag_52),0.14375,0.14392272232000058,11.873471539810392,-0.14375
1995-01-09__1996-12-30,1995-01-09,1996-12-30,1997-01-06,1997-01-27,XGBoost,0.004721610069274851,0.006403469294125051,0.36882315439913965,-0.001908988952636692
1995-02-06__1997-01-27,1995-02-06,1997-01-27,1997-02-03,1997-02-24,Naive (lag_1),0.003500000000000003,0.004062019202318011,0.27408223319581776,0.003500000000000003
1995-02-06__1997-01-27,1995-02-06,1997-01-27,1997-02-03,1997-02-24,Seasonal Naive (lag_52),0.14075000000000004,0.14151766674164754,11.675000152631391,-0.14075000000000004
