window_id,train_start,train_end,test_start,test_end,model,mae,rmse,smape,bias
1994-04-04__1996-03-25,1994-04-04,1996-03-25,1996-04-01,1996-04-22,Naive (recursive),0.07850000000000001,0.08264078896041593,6.26293941809164,-0.07850000000000001
1994-04-04__1996-03-25,1994-04-04,1996-03-25,1996-04-01,1996-04-22,XGBoost (direct multi-horizon),0.062038529872894266,0.0660785630012917,4.914389009496347,-0.062038529872894266
1994-05-02__1996-04-22,1994-05-02,1996-04-22,1996-04-29,1996-05-20,Naive (recursive),0.022750000000000048,0.023048861143232274,1.7331050702310433,-0.022750000000000048
1994-05-02__1996-04-22,1994-05-02,1996-04-22,1996-04-29,1996-05-20,XGBoost (direct multi-horizon),0.09604115366935728,0.0964555806975696,7.52954627588064,-0.09604115366935728
1994-05-30__1996-05-20,1994-05-30,1996-05-20,1996-05-27,1996-06-17,Naive (recursive),0.026750000000000107,0.028368115905008668,2.0343119038851927,0.026750000000000107
1994-05-30__1996-05-20,1994-05-30,1996-05-20,1996-05-27,1996-06-17,XGBoost (direct multi-horizon),0.04707606148719784,0.05284383445723461,3.6829048422785164,-0.04707606148719784
1994-06-27__1996-06-17,1994-06-27,1996-06-17,1996-06-24,1996-07-15,Naive (recursive),0.02700000000000008,0.0271385334902239,2.095687987398917,0.02700000000000008
1994-06-27__1996-06-17,1994-06-27,1996-06-17,1996-06-24,1996-07-15,XGBoost (direct multi-horizon),0.015270417451858476,0.0170491024677959,1.2071537723096095,-0.013118559122085538
1994-07-25__1996-07-15,1994-07-25,1996-07-15,1996-07-22,1996-08-12,Naive (recursive),0.019749999999999934,0.0206215906273012,1.5646915350299089,0.019749999999999934
1994-07-25__1996-07-15,1994-07-25,1996-07-15,1996-07-22,1996-08-12,XGBoost (direct multi-horizon),0.020076545953750635,0.02081866070909018,1.5898275301091946,0.020076545953750635
1994-08-22__1996-08-12,1994-08-22,1996-08-12,1996-08-19,1996-09-09,Naive (recursive),0.0034999999999999476,0.004062019202317942,0.28051404948525877,0.0
1994-08-22__1996-08-12,1994-08-22,1996-08-12,1996-08-19,1996-09-09,XGBoost (direct multi-horizon),0.03421970796585083,0.034318259701032056,2.7050485707034175,0.03421970796585083
1994-09-19__1996-09-09,1994-09-19,1996-09-09,1996-09-16,1996-10-07,Naive (recursive),0.00374999999999992,0.004609772228646394,0.3011335881730329,0.0012500000000000844
1994-09-19__1996-09-09,1994-09-19,1996-09-09,1996-09-16,1996-10-07,XGBoost (direct multi-horizon),0.038246731042861914,0.04133514797311693,3.017735938513686,0.038246731042861914
1994-10-17__1996-10-07,1994-10-17,1996-10-07,1996-10-14,1996-11-04,Naive (recursive),0.023249999999999937,0.02485457704327307,1.8566219535802075,-0.023249999999999937
1994-10-17__1996-10-07,1994-10-17,1996-10-07,1996-10-14,1996-11-04,XGBoost (direct multi-horizon),0.02234221124649044,0.02629636470514374,1.7513388770785718,0.02234221124649044
1994-11-14__1996-11-04,1994-11-14,1996-11-04,1996-11-11,1996-12-02,Naive (recursive),0.018249999999999933,0.018432308591166686,1.428787191423888,-0.018249999999999933
1994-11-14__1996-11-04,1994-11-14,1996-11-04,1996-11-11,1996-12-02,XGBoost (direct multi-horizon),0.017904226779937693,0.021273130098657708,1.4063530506589923,-0.017904226779937693
1994-12-12__1996-12-02,1994-12-12,1996-12-02,1996-12-09,1996-12-30,Naive (recursive),0.010249999999999926,0.011079259903080087,0.8001499504022803,0.010249999999999926
1994-12-12__1996-12-02,1994-12-12,1996-12-02,1996-12-09,1996-12-30,XGBoost (direct multi-horizon),0.022618206024169918,0.0240054493485853,1.7881350979756092,-0.022618206024169918
1995-01-09__1996-12-30,1995-01-09,1996-12-30,1997-01-06,1997-01-27,Naive (recursive),0.010999999999999954,0.011202678251203985,0.8595739430827914,-0.010999999999999954
1995-01-09__1996-12-30,1995-01-09,1996-12-30,1997-01-06,1997-01-27,XGBoost (direct multi-horizon),0.024814400672912573,0.025270258227323955,1.9504319036674136,-0.024814400672912573
1995-02-06__1997-01-27,1995-02-06,1997-01-27,1997-02-03,1997-02-24,Naive (recursive),0.013000000000000067,0.014679918255903274,1.019045214954963,0.013000000000000067
1995-02-06__1997-01-27,1995-02-06,1997-01-27,1997-02-03,1997-02-24,XGBoost (direct multi-horizon),0.007329142570495606,0.008529621450218162,0.5790444843749435,-0.0036598167419433225
1995-03-06__1997-02-24,1995-03-06,1997-02-24,1997-03-03,1997-03-24,Naive (recursive),0.021250000000000047,0.021453437952924977,1.6876209836271423,0.021250000000000047
1995-03-06__1997-02-24,1995-03-06,1997-02-24,1997-03-03,1997-03-24,XGBoost (direct multi-horizon),0.029085220098495512,0.029698737490208463,2.3017111341722236,0.029085220098495512
1995-04-03__1997-03-24,1995-04-03,1997-03-24,1997-03-31,1997-04-21,Naive (recursive),0.005749999999999977,0.006422616289332548,0.4613243321363743,0.005749999999999977
1995-04-03__1997-03-24,1995-04-03,1997-03-24,1997-03-31,1997-04-21,XGBoost (direct multi-horizon),0.035211264610290505,0.03758567380158234,2.7870560835329745,0.035211264610290505
1995-05-01__1997-04-21,1995-05-01,1997-04-21,1997-04-28,1997-05-19,Naive (recursive),0.006500000000000006,0.00710633520177593,0.5220454467586657,0.0005000000000001115
1995-05-01__1997-04-21,1995-05-01,1997-04-21,1997-04-28,1997-05-19,XGBoost (direct multi-horizon),0.009393716096878058,0.010398325075000724,0.7549908176355359,-0.002232897996902461
1995-05-29__1997-05-19,1995-05-29,1997-05-19,1997-05-26,1997-06-16,Naive (recursive),0.00874999999999998,0.009836157786453014,0.7026082213580176,0.0012500000000001399
1995-05-29__1997-05-19,1995-05-29,1997-05-19,1997-05-26,1997-06-16,XGBoost (direct multi-horizon),0.01804062914848331,0.023406223117762408,1.4403218383162895,0.013447145700454743
1995-06-26__1997-06-16,1995-06-26,1997-06-16,1997-06-23,1997-07-14,Naive (recursive),0.01974999999999999,0.01990602923739437,1.6031271399044305,0.01974999999999999
1995-06-26__1997-06-16,1995-06-26,1997-06-16,1997-06-23,1997-07-14,XGBoost (direct multi-horizon),0.029990359783172604,0.030182644937389962,2.4240952643246167,0.029990359783172604
1995-07-24__1997-07-14,1995-07-24,1997-07-14,1997-07-21,1997-08-11,Naive (recursive),0.03225,0.039265124474525695,2.5949695895601677,-0.030749999999999944
1995-07-24__1997-07-14,1995-07-24,1997-07-14,1997-07-21,1997-08-11,XGBoost (direct multi-horizon),0.020734117746353142,0.02332905047298895,1.6619101656230582,0.01021777415275571
1995-08-21__1997-08-11,1995-08-21,1997-08-11,1997-08-18,1997-09-08,Naive (recursive),0.013999999999999957,0.014300349646075058,1.0943464553803988,-0.013999999999999957
1995-08-21__1997-08-11,1995-08-21,1997-08-11,1997-08-18,1997-09-08,XGBoost (direct multi-horizon),0.042239712238311744,0.04265075901114057,3.3405056275620666,-0.042239712238311744
1995-09-18__1997-09-08,1995-09-18,1997-09-08,1997-09-15,1997-10-06,Naive (recursive),0.031500000000000083,0.03242684073418199,2.477777373804231,0.031500000000000083
1995-09-18__1997-09-08,1995-09-18,1997-09-08,1997-09-15,1997-10-06,XGBoost (direct multi-horizon),0.021633898973465016,0.025287566210833733,1.7079480974249248,0.021633898973465016
1995-10-16__1997-10-06,1995-10-16,1997-10-06,1997-10-13,1997-11-03,Naive (recursive),0.026749999999999996,0.02759075932264278,2.1576686604021713,0.026749999999999996
1995-10-16__1997-10-06,1995-10-16,1997-10-06,1997-10-13,1997-11-03,XGBoost (direct multi-horizon),0.04314712667465209,0.04452781014942892,3.455569785592068,0.04314712667465209
1995-11-13__1997-11-03,1995-11-13,1997-11-03,1997-11-10,1997-12-01,Naive (recursive),0.020000000000000018,0.022315913604421415,1.654899649613226,0.020000000000000018
1995-11-13__1997-11-03,1995-11-13,1997-11-03,1997-11-10,1997-12-01,XGBoost (direct multi-horizon),0.04962516331672662,0.05078017744267445,4.051561152744202,0.04962516331672662
1995-12-11__1997-12-01,1995-12-11,1997-12-01,1997-12-08,1997-12-29,Naive (recursive),0.034750000000000114,0.03627326839423225,2.9497972397136576,0.034750000000000114
