window_id,train_start,train_end,test_start,test_end,model,mae,rmse,smape,bias
1994-04-04__1996-03-25,1994-04-04,1996-03-25,1996-04-01,1996-04-22,Naive (recursive),0.044757759332656855,0.050223755459718675,3.574718965406303,-0.044757759332656855
1994-04-04__1996-03-25,1994-04-04,1996-03-25,1996-04-01,1996-04-22,Seasonal Naive (recursive),0.10749999999999998,0.10835820227375496,8.859835323007207,-0.10749999999999998
1994-04-04__1996-03-25,1994-04-04,1996-03-25,1996-04-01,1996-04-22,XGBoost (recursive),0.03874295568466185,0.0452033157761562,3.082660536820179,-0.03874295568466185
1994-05-02__1996-04-22,1994-05-02,1996-04-22,1996-04-29,1996-05-20,Naive (recursive),0.0501732089519501,0.05391915301861062,3.8730842109007,-0.0501732089519501
1994-05-02__1996-04-22,1994-05-02,1996-04-22,1996-04-29,1996-05-20,Seasonal Naive (recursive),0.10300000000000004,0.10393026508192889,8.11078475621555,-0.10300000000000004
1994-05-02__1996-04-22,1994-05-02,1996-04-22,1996-04-29,1996-05-20,XGBoost (recursive),0.061530099391937265,0.06206696860496745,4.761359063645152,-0.061530099391937265
1994-05-30__1996-05-20,1994-05-30,1996-05-20,1996-05-27,1996-06-17,Naive (recursive),0.012094279527664231,0.01237128898918345,0.9189630317904004,0.012094279527664231
1994-05-30__1996-05-20,1994-05-30,1996-05-20,1996-05-27,1996-06-17,Seasonal Naive (recursive),0.06849999999999995,0.06862579689883384,5.363117635095163,-0.06849999999999995
1994-05-30__1996-05-20,1994-05-30,1996-05-20,1996-05-27,1996-06-17,XGBoost (recursive),0.008993120193481474,0.010137636330776452,0.6847014359167436,0.008993120193481474
1994-06-27__1996-06-17,1994-06-27,1996-06-17,1996-06-24,1996-07-15,Naive (recursive),0.01700030207633979,0.017523254872250323,1.320644938899496,0.01700030207633979
1994-06-27__1996-06-17,1994-06-27,1996-06-17,1996-06-24,1996-07-15,Seasonal Naive (recursive),0.06349999999999995,0.063784794426258,5.093079732731312,-0.06349999999999995
1994-06-27__1996-06-17,1994-06-27,1996-06-17,1996-06-24,1996-07-15,XGBoost (recursive),0.0156383473873139,0.016930462149325944,1.2158208579923233,0.0156383473873139
1994-07-25__1996-07-15,1994-07-25,1996-07-15,1996-07-22,1996-08-12,Naive (recursive),0.013570132732391382,0.016871923209797322,1.0746648056211443,0.013570132732391382
1994-07-25__1996-07-15,1994-07-25,1996-07-15,1996-07-22,1996-08-12,Seasonal Naive (recursive),0.07999999999999996,0.08005310737254359,6.56200952098245,-0.07999999999999996
1994-07-25__1996-07-15,1994-07-25,1996-07-15,1996-07-22,1996-08-12,XGBoost (recursive),0.015842105865478573,0.018868095895901296,1.2531104929854808,0.01472545003890996
1994-08-22__1996-08-12,1994-08-22,1996-08-12,1996-08-19,1996-09-09,Naive (recursive),0.00472224116325376,0.005275818331274478,0.37833850789820306,0.00145224499702451
1994-08-22__1996-08-12,1994-08-22,1996-08-12,1996-08-19,1996-09-09,Seasonal Naive (recursive),0.08475000000000005,0.08489552402806644,7.031375787279711,-0.08475000000000005
1994-08-22__1996-08-12,1994-08-22,1996-08-12,1996-08-19,1996-09-09,XGBoost (recursive),0.005366709947586035,0.006223018682427454,0.42976802742625897,0.0028355858325957994
1994-09-19__1996-09-09,1994-09-19,1996-09-09,1996-09-16,1996-10-07,Naive (recursive),0.00405800819396962,0.004702145652686368,0.3257782231713452,0.0010959892272949245
